epoch,step,train/loss,train/reward,val/reward
0,49,5.494974136352539,-9.997682571411133,
0,99,4.540700435638428,-9.284355163574219,
0,149,1.1198581457138062,-9.033921241760254,
0,195,,,-8.145859718322754
1,199,-30.94689178466797,-9.062576293945312,
1,249,-36.163726806640625,-8.976446151733398,
1,299,-15.540420532226562,-8.711181640625,
1,349,-8.923356056213379,-8.326408386230469,
1,391,,,-7.6954827308654785
2,399,-10.156770706176758,-8.064895629882812,
2,449,-16.58447265625,-8.220418930053711,
2,499,-4.30095100402832,-7.905391693115234,
2,549,-6.152824401855469,-7.956318378448486,
2,587,,,-7.654164791107178
