epoch,step,train/loss,train/reward,val/reward
0,49,17857.416015625,-5864.73681640625,
0,99,-5750.85205078125,-4330.322265625,
0,149,-56.14422607421875,-3799.288330078125,
0,195,,,-3485.666748046875
1,199,-16527.435546875,-3904.859375,
1,249,-18742.42578125,-4125.044921875,
1,299,-1236.0609130859375,-3526.7265625,
1,349,723.2877197265625,-3403.9326171875,
1,391,,,-3260.758056640625
2,399,-417.9542236328125,-3296.2568359375,
2,449,-1162.3673095703125,-3328.973876953125,
2,499,-36534.84375,-4566.77978515625,
2,549,2658.6259765625,-2965.5966796875,
2,587,,,-2798.95703125
3,599,-66.110595703125,-2807.001708984375,
3,649,-560.0357666015625,-2843.392578125,
3,699,143.16104125976562,-2717.15185546875,
3,749,170.3968505859375,-2739.779296875,
3,783,,,-2822.4794921875
4,799,-308.20172119140625,-2703.44287109375,
4,849,253.8519744873047,-2652.85791015625,
4,899,402.9949951171875,-2614.156005859375,
4,949,253.8859405517578,-2628.81103515625,
4,979,,,-2613.672119140625
5,999,-84.10981750488281,-2625.05126953125,
5,1049,-7005.205078125,-3481.373046875,
5,1099,-185.88528442382812,-2610.778076171875,
5,1149,-118.43986511230469,-2607.2021484375,
5,1175,,,-2611.640869140625
6,1199,-47.369083404541016,-2592.630859375,
6,1249,-503.26702880859375,-2628.3505859375,
6,1299,11.384657859802246,-2592.496826171875,
6,1349,76.99336242675781,-2567.987060546875,
6,1371,,,-2552.18359375
7,1399,-1.2892035245895386,-2551.5283203125,
7,1449,-138.7923583984375,-2569.446533203125,
7,1499,0.10572351515293121,-2551.12841796875,
7,1549,0.8451642990112305,-2551.01318359375,
7,1567,,,-2549.786376953125
8,1599,-1458.3052978515625,-2608.21044921875,
8,1649,-6651.072265625,-3710.62109375,
8,1699,362.448486328125,-2375.64453125,
8,1749,470.51373291015625,-2375.630859375,
8,1763,,,-2156.883056640625
9,1799,363.2062683105469,-2375.28515625,
9,1849,348.39190673828125,-2376.734619140625,
9,1899,352.27191162109375,-2376.298828125,
9,1949,336.6446533203125,-2385.249755859375,
9,1959,,,-2156.883056640625
10,1999,-12111.8876953125,-4162.37548828125,
10,2049,-6619.373046875,-2998.46630859375,
10,2099,-1911.0567626953125,-2811.7890625,
10,2149,-3972.91064453125,-2928.19677734375,
10,2155,,,-2708.17138671875
11,2199,-2430.593505859375,-2738.43505859375,
11,2249,-3546.48681640625,-2813.3818359375,
11,2299,-3558.96875,-2782.047607421875,
11,2349,-1748.8685302734375,-2741.100341796875,
11,2351,,,-2714.480712890625
12,2399,-1546.97802734375,-2660.95703125,
12,2449,-1477.78759765625,-2700.78076171875,
12,2499,-192.3582763671875,-2440.9775390625,
12,2547,,,-2593.835693359375
13,2549,-781.3704833984375,-2452.4013671875,
13,2599,-204.44329833984375,-2369.015380859375,
13,2649,-1305.748046875,-2501.55517578125,
13,2699,-349.64190673828125,-2440.1123046875,
13,2743,,,-2238.19775390625
14,2749,-611.676025390625,-2469.0390625,
14,2799,-479.56488037109375,-2417.40283203125,
14,2849,-523.6119384765625,-2436.27099609375,
14,2899,-862.9039306640625,-2427.2001953125,
14,2939,,,-2223.37646484375
