epoch,step,train/loss,train/reward,val/reward
0,49,9573.7470703125,-3872.46875,
0,99,4424.6630859375,-3516.247802734375,
0,149,5784.46484375,-3274.94189453125,
0,195,,,-3631.951171875
1,199,21855.21484375,-3397.2607421875,
1,249,26257.95703125,-3334.82373046875,
1,299,27428.14453125,-3243.264404296875,
1,349,18500.84375,-3301.380126953125,
1,391,,,-3605.848876953125
2,399,26952.99609375,-3206.0615234375,
2,449,30890.412109375,-3173.4609375,
2,499,41856.52734375,-3018.99072265625,
2,549,17880.541015625,-3344.116943359375,
2,587,,,-3295.152587890625
