epoch,step,train/loss,train/reward,val/reward
0,49,19367.365234375,-5604.9521484375,
0,99,4690.93994140625,-4478.9296875,
0,149,-186.5382080078125,-4418.77294921875,
0,195,,,-3866.548095703125
1,199,-12405.9365234375,-4120.65380859375,
1,249,-14410.30078125,-4164.51904296875,
1,299,-4303.248046875,-3938.069091796875,
1,349,1699.815673828125,-3918.366943359375,
1,391,,,-3669.480712890625
2,399,-13636.384765625,-4024.208984375,
2,449,-3976.3095703125,-3724.199951171875,
2,499,-3180.54248046875,-3732.309326171875,
2,549,642.3578491210938,-3671.525634765625,
2,587,,,-3601.656005859375
3,599,-3365.770751953125,-3679.971435546875,
3,649,-3300.03955078125,-3579.171875,
3,699,-1651.469482421875,-3577.91259765625,
3,749,-3291.6142578125,-3710.529296875,
3,783,,,-3543.10595703125
4,799,-4669.16064453125,-3615.5029296875,
4,849,-2998.140625,-3563.165771484375,
4,899,-5925.625,-3730.498046875,
4,949,410.1441955566406,-3561.912841796875,
4,979,,,-3459.840087890625
5,999,2464.170654296875,-3366.310791015625,
5,1049,-4466.31884765625,-3665.33642578125,
5,1099,-4194.34619140625,-3512.90625,
5,1149,-1109.925048828125,-3418.914794921875,
5,1175,,,-3471.977294921875
6,1199,2688.66455078125,-3344.286376953125,
6,1249,5696.8427734375,-3351.14208984375,
6,1299,2920.9140625,-3433.9677734375,
6,1349,2320.361083984375,-3413.3583984375,
6,1371,,,-3359.86474609375
7,1399,-1516.10400390625,-3425.886474609375,
7,1449,-1601.04736328125,-3366.0068359375,
7,1499,3807.326904296875,-3395.517333984375,
7,1549,2436.26904296875,-3269.57421875,
7,1567,,,-3226.322998046875
8,1599,-1724.6468505859375,-3257.26513671875,
8,1649,-5407.1708984375,-3422.31640625,
8,1699,-539.2283935546875,-3251.36767578125,
8,1749,-1670.6087646484375,-3267.759765625,
8,1763,,,-3251.881103515625
9,1799,-3381.903564453125,-3462.772705078125,
9,1849,547.6201171875,-3321.59521484375,
9,1899,-4830.61865234375,-3415.71435546875,
9,1949,-6792.2138671875,-3460.30712890625,
9,1959,,,-3282.761962890625
10,1999,-3129.4091796875,-3341.790771484375,
10,2049,-6464.806640625,-3439.82763671875,
10,2099,-1611.22119140625,-3286.5947265625,
10,2149,669.954345703125,-3168.238525390625,
10,2155,,,-3089.805908203125
11,2199,-2760.660400390625,-3211.725341796875,
11,2249,-817.4908447265625,-3098.6669921875,
11,2299,-2541.96435546875,-3153.8291015625,
11,2349,896.8439331054688,-3003.929931640625,
11,2351,,,-2943.73828125
12,2399,-445.22747802734375,-2953.57421875,
12,2449,-2391.23388671875,-2964.21142578125,
12,2499,-566.5277099609375,-2964.23095703125,
12,2547,,,-2785.6279296875
13,2549,-6249.1923828125,-2926.26953125,
13,2599,-5428.8359375,-3084.55615234375,
13,2649,-9751.5703125,-3089.133056640625,
13,2699,-2590.69775390625,-2911.28466796875,
13,2743,,,-2917.96044921875
14,2749,-4118.02294921875,-3022.5244140625,
14,2799,-1870.3936767578125,-2878.170166015625,
14,2849,-1941.951904296875,-2900.99462890625,
14,2899,2134.747314453125,-2744.70703125,
14,2939,,,-2848.04931640625
15,2949,-5118.0791015625,-2926.93212890625,
15,2999,-2357.14599609375,-2890.684814453125,
15,3049,492.04803466796875,-2702.5888671875,
15,3099,-912.4906616210938,-2767.3974609375,
15,3135,,,-2646.78564453125
16,3149,-7731.83056640625,-2983.78955078125,
16,3199,-3517.364013671875,-2833.5625,
16,3249,-2434.0478515625,-2732.090576171875,
16,3299,-1460.2186279296875,-2705.8662109375,
16,3331,,,-2791.925048828125
17,3349,-6811.55810546875,-2907.3115234375,
17,3399,-1574.37744140625,-2670.8525390625,
17,3449,-2857.66650390625,-2821.16552734375,
17,3499,-3337.528564453125,-2742.392578125,
17,3527,,,-2626.000244140625
18,3549,-4653.634765625,-2783.7802734375,
18,3599,2032.5380859375,-2593.47802734375,
18,3649,-4822.201171875,-2825.79638671875,
18,3699,-5018.142578125,-2798.354736328125,
18,3723,,,-2616.43310546875
19,3749,-6279.2724609375,-2834.33447265625,
19,3799,-774.6446533203125,-2600.09326171875,
19,3849,943.06640625,-2610.402099609375,
19,3899,-904.0669555664062,-2645.3681640625,
19,3919,,,-2645.552978515625
