epoch,step,train/loss,train/reward,val/reward
0,49,220070.21875,-38372.62890625,
0,97,,,-18639.11328125
1,99,-141321.9375,-21460.044921875,
1,149,47155.703125,-16893.59765625,
1,195,,,-18995.423828125
2,199,134834.84375,-14321.75,
2,249,158029.0,-13530.2265625,
2,293,,,-13983.8740234375
3,299,52697.91796875,-11506.3271484375,
3,349,80864.09375,-8318.078125,
3,391,,,-11289.267578125
4,399,51210.8359375,-7002.0458984375,
4,449,54037.11328125,-6904.1728515625,
4,489,,,-8823.955078125
5,499,26817.947265625,-5906.9013671875,
5,549,27388.453125,-5709.5986328125,
5,587,,,-7694.4072265625
6,599,20363.77734375,-5454.4072265625,
6,649,16423.83203125,-5692.3740234375,
6,685,,,-7178.1005859375
7,699,16750.77734375,-4705.296875,
7,749,15529.6416015625,-5065.41015625,
7,783,,,-7183.2041015625
8,799,10486.4453125,-5520.763671875,
8,849,15953.314453125,-4943.345703125,
8,881,,,-7183.2041015625
9,899,14088.2421875,-4849.29736328125,
9,949,14419.5048828125,-4676.0078125,
9,979,,,-7183.2041015625
10,999,11977.26953125,-4785.02978515625,
10,1049,16248.279296875,-4756.57275390625,
10,1077,,,-7182.33056640625
11,1099,14084.08203125,-4814.3369140625,
11,1149,12930.123046875,-4975.3408203125,
11,1175,,,-7183.2041015625
12,1199,13067.8583984375,-5132.77197265625,
12,1249,10540.2861328125,-4940.8349609375,
12,1273,,,-7202.9501953125
13,1299,14130.865234375,-4718.69384765625,
13,1349,19083.259765625,-5137.9951171875,
13,1371,,,-6785.69580078125
14,1399,16858.623046875,-4297.9111328125,
14,1449,21482.2890625,-4133.04833984375,
14,1469,,,-6243.24951171875
15,1499,14523.998046875,-3915.5927734375,
15,1549,6594.0380859375,-4672.7685546875,
15,1567,,,-6329.58642578125
16,1599,11067.1298828125,-4092.044921875,
16,1649,17131.20703125,-3997.6044921875,
16,1665,,,-6248.42138671875
17,1699,14372.619140625,-4042.53955078125,
17,1749,13288.8037109375,-3995.54541015625,
17,1763,,,-6249.58544921875
18,1799,16023.359375,-4172.0458984375,
18,1849,14973.0771484375,-4305.44921875,
18,1861,,,-6338.20166015625
19,1899,13985.865234375,-3904.250732421875,
19,1949,14667.8876953125,-3886.981689453125,
19,1959,,,-6212.53076171875
