epoch,step,train/loss,train/reward,val/reward
0,49,4.027200698852539,-13.869242668151855,
0,99,-0.1373283863067627,-13.089885711669922,
0,149,1.451051950454712,-12.837601661682129,
0,195,,,-11.894722938537598
1,199,-26.65483283996582,-12.582940101623535,
1,249,-19.419219970703125,-12.454021453857422,
1,299,-4.531740188598633,-11.978347778320312,
1,349,0.40766197443008423,-11.790929794311523,
1,391,,,-11.458772659301758
2,399,-12.313472747802734,-11.948005676269531,
2,449,-6.778987884521484,-11.650131225585938,
2,499,-4.446918487548828,-11.591049194335938,
2,549,-3.437199115753174,-11.627405166625977,
2,587,,,-11.299147605895996
