epoch,step,train/loss,train/reward,val/reward
0,49,3758281984.0,-59973.4296875,
0,99,3292222464.0,-55978.1484375,
0,149,3752580096.0,-59610.51953125,
0,199,4430406144.0,-63156.28125,
0,249,6931872256.0,-77522.0,
0,299,4709017600.0,-65849.3125,
0,349,3295019264.0,-56960.21875,
0,390,,,-55559.890625
1,399,3123609344.0,-55333.2421875,
1,449,3388371200.0,-57085.67578125,
1,499,3746361600.0,-59639.03515625,
1,549,4104983040.0,-61831.2109375,
1,599,3243908864.0,-56473.703125,
1,649,4056294144.0,-62454.140625,
1,699,10362560512.0,-86633.6015625,
1,749,3725214464.0,-60143.89453125,
1,781,,,-63548.08984375
2,799,4336609792.0,-63584.15625,
2,849,4016124416.0,-62436.96875,
