epoch,step,train/loss,train/reward,val/reward
0,49,-33998.39453125,-165.962890625,
0,99,528106.25,-249.96102905273438,
0,149,-35170.859375,-159.59544372558594,
0,199,-39968.9765625,-167.03579711914062,
0,249,-37395.9140625,-171.40333557128906,
0,299,-44015.6484375,-167.1861572265625,
0,349,282768.1875,-224.9913330078125,
0,390,,,-168.6133270263672
1,399,-36701.89453125,-168.06297302246094,
1,449,-30142.3046875,-165.33761596679688,
1,499,-24126.869140625,-168.16075134277344,
1,549,-15949.265625,-164.5587158203125,
1,599,1409.677734375,-168.22866821289062,
1,649,2658.158935546875,-153.648193359375,
1,699,5105324.5,-528.1365966796875,
1,749,205408.546875,-179.3135986328125,
