epoch,step,train/loss,train/reward,val/reward
0,49,2353670.0,-43893.09765625,
0,99,1424682.625,-25608.16796875,
0,149,1229776.5,-18913.6953125,
0,199,243437.53125,-17575.73046875,
0,249,-118182.1015625,-17691.171875,
0,299,111715.5703125,-15638.755859375,
0,349,-400889.0,-18209.134765625,
0,390,,,-16463.8125
1,399,-38725.33984375,-16611.037109375,
1,449,29541.232421875,-16430.80078125,
1,499,-690375.4375,-18788.7421875,
1,549,-11558466.0,-45903.69140625,
1,599,97314.1875,-15744.8369140625,
1,649,-2397854.5,-24998.35546875,
1,699,-1794570.5,-20189.359375,
1,749,237768.734375,-15242.240234375,
1,781,,,-18873.291015625
2,799,1058660.5,-13894.42578125,
2,849,415482.21875,-15674.9794921875,
2,899,867742.1875,-12684.4775390625,
2,949,104603.1015625,-15691.0400390625,
2,999,1484359.25,-12524.8876953125,
2,1049,1105274.5,-12013.28125,
2,1099,1161386.75,-11957.03125,
2,1149,983280.375,-13014.341796875,
2,1172,,,-14346.4443359375
3,1199,588059.0,-11935.466796875,
3,1249,557940.375,-11844.07421875,
3,1299,585697.1875,-11479.005859375,
3,1349,424782.1875,-12265.31640625,
3,1399,851674.125,-10727.09765625,
3,1449,664137.75,-12047.767578125,
3,1499,353411.3125,-12935.53515625,
3,1549,892870.875,-11545.5234375,
3,1563,,,-11907.0205078125
4,1599,-335509.75,-12790.8671875,
4,1649,-111570.0078125,-12591.23046875,
4,1699,-609461.75,-13146.958984375,
4,1749,818.77734375,-12226.0654296875,
4,1799,120673.296875,-10899.1220703125,
4,1849,316246.46875,-10762.3134765625,
4,1899,-191658.234375,-11933.5185546875,
4,1949,-31160.578125,-12184.349609375,
4,1954,,,-11669.8115234375
5,1999,15968.88671875,-11718.2236328125,
5,2049,-338586.25,-12795.2666015625,
5,2099,139810.1875,-11268.814453125,
5,2149,55151.4921875,-11222.9921875,
5,2199,-168754.25,-12566.439453125,
5,2249,326386.25,-10645.4921875,
5,2299,99557.984375,-11243.849609375,
5,2345,,,-10286.298828125
6,2349,-267271.875,-11311.6767578125,
6,2399,-155353.59375,-10895.1015625,
6,2449,55069.70703125,-10066.0244140625,
6,2499,-14821.630859375,-10029.556640625,
6,2549,-420155.53125,-11927.87109375,
6,2599,-317877.4375,-11898.5537109375,
6,2649,65112.4609375,-10166.7177734375,
6,2699,68543.7421875,-9978.919921875,
6,2736,,,-10210.5556640625
7,2749,-54607.875,-10317.5478515625,
7,2799,26412.578125,-9820.2861328125,
7,2849,-147956.8125,-10598.6640625,
7,2899,-122141.7421875,-10496.306640625,
7,2949,-29963.80078125,-10562.53515625,
7,2999,-38513.109375,-10287.7587890625,
7,3049,-123102.8125,-10799.4287109375,
7,3099,-129503.1015625,-10656.7939453125,
7,3127,,,-10608.935546875
8,3149,-239599.28125,-11376.6904296875,
8,3199,-49608.76953125,-10425.1796875,
8,3249,-63460.28125,-10344.3154296875,
8,3299,-120197.9609375,-10980.8701171875,
8,3349,-277359.09375,-11570.41015625,
8,3399,-126909.7734375,-10764.3818359375,
8,3449,-117265.5859375,-10817.6484375,
8,3499,-122397.4921875,-10907.908203125,
8,3518,,,-10555.306640625
9,3549,-1138691.5,-13773.6728515625,
9,3599,-103127.8984375,-10640.345703125,
9,3649,-19064.953125,-10295.48046875,
9,3699,-94556.78125,-10709.57421875,
9,3749,-453732.25,-12517.693359375,
9,3799,-5451.333984375,-10413.931640625,
9,3849,11539.25390625,-10043.478515625,
9,3899,64722.1875,-9892.439453125,
9,3909,,,-9843.1572265625
10,3949,-30001.75,-10152.595703125,
10,3999,-27596.1953125,-9997.1474609375,
10,4049,-26248.2734375,-10096.671875,
10,4099,-403319.1875,-11378.8330078125,
10,4149,-105944.25,-9992.087890625,
10,4199,-12380.7607421875,-9606.400390625,
10,4249,-103313.078125,-10551.8935546875,
10,4299,-58809.31640625,-10141.4267578125,
10,4300,,,-9860.3095703125
11,4349,-40649.66015625,-10013.7548828125,
11,4399,-46749.296875,-10093.96875,
11,4449,-127011.0390625,-10160.8828125,
11,4499,-68297.25,-10151.0361328125,
11,4549,-97822.078125,-10076.0390625,
11,4599,-15779.67578125,-10017.67578125,
11,4649,20234.58984375,-9798.490234375,
11,4691,,,-9588.328125
12,4699,-72158.8125,-9935.8046875,
12,4749,-328656.40625,-10775.068359375,
12,4799,-96814.6640625,-10090.1103515625,
12,4849,-287133.21875,-10660.5439453125,
12,4899,-139434.03125,-10399.01171875,
12,4949,-280000.8125,-11231.974609375,
12,4999,-2283933.5,-19264.06640625,
12,5049,-145130.234375,-10432.1611328125,
12,5082,,,-9789.3759765625
13,5099,-218277.90625,-10596.494140625,
13,5149,-71370.75,-9808.427734375,
13,5199,-75529.859375,-9769.826171875,
13,5249,-58493.0625,-10170.0546875,
13,5299,-266668.78125,-10670.853515625,
13,5349,-148462.765625,-10285.109375,
13,5399,-351902.59375,-11279.9453125,
13,5449,-85008.1328125,-10091.6533203125,
13,5473,,,-9375.4951171875
14,5499,-47803.2890625,-9617.2958984375,
14,5549,2038.962890625,-9211.87890625,
14,5599,-31861.5390625,-9756.1083984375,
14,5649,-55128.9453125,-9776.7705078125,
14,5699,11308.580078125,-9011.6171875,
14,5749,35507.6015625,-9358.880859375,
14,5799,6796.6279296875,-9321.8427734375,
