epoch,step,train/loss,train/reward,val/reward
0,49,45201.0078125,-7066.740234375,
0,99,-162.951904296875,-4980.1142578125,
0,149,2260.0009765625,-4548.87060546875,
0,195,,,-3960.961669921875
1,199,-36902.28125,-4646.3486328125,
1,249,-24133.310546875,-4456.177734375,
1,299,-1100.1318359375,-4013.5283203125,
1,349,-12522.291015625,-4278.6826171875,
1,391,,,-3837.837158203125
2,399,1191.88720703125,-3801.94873046875,
2,449,-2166.75732421875,-3880.38134765625,
2,499,-1709.923583984375,-3957.35791015625,
2,549,-15691.2158203125,-4177.92138671875,
2,587,,,-3567.022705078125
