epoch,step,train/loss,train/reward,val/reward
0,49,210798.140625,-13933.958984375,
0,97,,,-5953.47119140625
1,99,-237693.71875,-10655.5869140625,
1,149,30643.400390625,-4688.62353515625,
1,195,,,-2873.218505859375
2,199,-14583.669921875,-3709.944091796875,
2,249,-11323.0419921875,-3704.34619140625,
2,293,,,-2369.11279296875
3,299,-3068.79345703125,-2667.9208984375,
3,349,-466.43914794921875,-2410.22607421875,
3,391,,,-2256.35302734375
4,399,-10391.37109375,-3031.549072265625,
4,449,211.15475463867188,-2090.837890625,
4,489,,,-1985.0234375
5,499,-356.5395202636719,-1987.055419921875,
5,549,-1.0966949462890625,-1900.31494140625,
5,587,,,-2045.769775390625
6,599,-331.7927551269531,-2062.41748046875,
6,649,-84.99024963378906,-1961.2984619140625,
6,685,,,-1955.609619140625
7,699,-1052.322509765625,-2106.38671875,
7,749,-115.9229965209961,-2003.9493408203125,
7,783,,,-1933.8048095703125
8,799,-101.95862579345703,-1975.700439453125,
8,849,-1053.345947265625,-2143.212890625,
8,881,,,-2026.920166015625
9,899,-204.9777069091797,-1974.0234375,
9,949,-30.10235023498535,-1942.728515625,
9,979,,,-1933.8048095703125
10,999,-440.7287902832031,-2025.423828125,
10,1049,-443.550048828125,-1962.253173828125,
10,1077,,,-1933.8048095703125
11,1099,-1784.9219970703125,-2033.9593505859375,
11,1149,-1517.6484375,-2045.95703125,
11,1175,,,-1933.8048095703125
12,1199,-51.42949676513672,-1936.72509765625,
12,1249,-3.9521968364715576,-1934.3055419921875,
12,1273,,,-1933.8048095703125
13,1299,5.320440292358398,-1930.746826171875,
13,1349,-491.6708984375,-1959.7216796875,
13,1371,,,-1928.076416015625
14,1399,-134.4681396484375,-1941.57373046875,
14,1449,2.566786050796509,-1932.126953125,
14,1469,,,-1928.076416015625
15,1499,-1313.693115234375,-2012.2418212890625,
15,1549,31.587509155273438,-1909.855712890625,
15,1567,,,-1865.08642578125
16,1599,67.45880126953125,-1898.72265625,
16,1649,-57.454315185546875,-1923.7529296875,
16,1665,,,-1933.8048095703125
17,1699,79.40824890136719,-1895.273193359375,
17,1749,0.23580551147460938,-1897.4647216796875,
17,1763,,,-1859.3590087890625
18,1799,6.020212173461914,-1899.6502685546875,
18,1849,45.419036865234375,-1896.8734130859375,
18,1861,,,-1859.3590087890625
19,1899,43.7043571472168,-1895.7305908203125,
19,1949,-18.344985961914062,-1910.1324462890625,
19,1959,,,-1859.3590087890625
