epoch,step,train/loss,train/reward,val/reward
0,49,51691.2109375,-5906.60009765625,
0,99,-96.6533203125,-3441.47802734375,
0,149,152.2479248046875,-3175.139404296875,
0,195,,,-2574.42529296875
1,199,-30103.41796875,-3281.12841796875,
1,249,-5063.8232421875,-2722.9462890625,
1,299,-2130.75048828125,-2637.3388671875,
1,349,-1774.3480224609375,-2632.873046875,
1,391,,,-2462.53271484375
2,399,-1631.079833984375,-2519.22802734375,
2,449,45.5906982421875,-2435.483642578125,
2,499,1412.328125,-2298.88818359375,
2,549,938.1100463867188,-2311.202392578125,
2,587,,,-2130.25341796875
3,599,-13673.298828125,-3426.710693359375,
3,649,-313.7420654296875,-2161.918212890625,
3,699,-1107.768310546875,-2202.83740234375,
3,749,-1682.6795654296875,-2188.36083984375,
3,783,,,-2040.62939453125
4,799,-218.852294921875,-2066.32568359375,
4,849,-46.36655807495117,-2042.97607421875,
4,899,-10.278831481933594,-2033.39697265625,
4,949,-65.33222961425781,-2034.5823974609375,
4,979,,,-2027.3922119140625
5,999,-200.23391723632812,-2053.86669921875,
5,1049,-217.0012664794922,-2050.154052734375,
5,1099,-3695.3505859375,-2596.204345703125,
5,1149,-1064.86474609375,-2154.8017578125,
5,1175,,,-2026.3082275390625
6,1199,-1.2076632976531982,-2026.4398193359375,
6,1249,-62.0179328918457,-2032.3486328125,
6,1299,-8.470767974853516,-2026.9169921875,
6,1349,-301.3243713378906,-2152.097412109375,
6,1371,,,-2026.3082275390625
7,1399,-188.8135986328125,-2047.0665283203125,
7,1449,-0.00012517624418251216,-2026.307861328125,
7,1499,-294.18353271484375,-2050.177734375,
7,1549,-0.6142808794975281,-2026.3515625,
7,1567,,,-2026.3082275390625
8,1599,-2330.8701171875,-2209.718505859375,
8,1649,-6.771289918106049e-06,-2026.307861328125,
8,1699,-16305.2880859375,-5243.794921875,
8,1749,-645.1978759765625,-2093.03271484375,
8,1763,,,-2022.37060546875
9,1799,-3.7074880599975586,-2023.72216796875,
9,1849,-2013.51513671875,-2394.87939453125,
9,1899,-3.94781494140625,-2022.85595703125,
9,1949,-749.6004638671875,-2164.394287109375,
9,1959,,,-3170.0751953125
10,1999,-58.367881774902344,-2015.343505859375,
10,2049,-16.38749885559082,-2031.9385986328125,
10,2099,-19.785930633544922,-2003.394287109375,
10,2149,-111.26809692382812,-2024.10595703125,
10,2155,,,-3272.22705078125
11,2199,-622.2593994140625,-2058.71875,
11,2249,-64.73512268066406,-1998.15576171875,
11,2299,-5366.38330078125,-2421.5869140625,
11,2349,-12485.96875,-2605.936767578125,
11,2351,,,-3289.620849609375
12,2399,-4324.5859375,-2445.447509765625,
12,2449,-3609.586181640625,-2745.56591796875,
12,2499,-23841.671875,-6316.1318359375,
12,2547,,,-2414.29248046875
13,2549,-13628.791015625,-2994.905517578125,
13,2599,-695.3585205078125,-2157.54931640625,
13,2649,-896.7271728515625,-2119.229736328125,
13,2699,-3812.07666015625,-2394.6826171875,
13,2743,,,-1917.1541748046875
14,2749,-203.90884399414062,-1930.5548095703125,
14,2799,-1105.1849365234375,-2063.68798828125,
14,2849,-740.5922241210938,-1988.71630859375,
14,2899,-107285.78125,-6703.962890625,
14,2939,,,-2026.948974609375
15,2949,-231.1060791015625,-2031.9984130859375,
15,2999,-21944.45703125,-4620.8935546875,
15,3049,-26.627342224121094,-1946.0225830078125,
15,3099,-194.43978881835938,-1981.8568115234375,
15,3135,,,-1895.093994140625
16,3149,-64.25983428955078,-1912.7979736328125,
16,3199,0.0009343054844066501,-1894.44775390625,
16,3249,0.000780166476033628,-1894.44775390625,
16,3299,-5638.259765625,-2089.937255859375,
16,3331,,,-1894.4476318359375
17,3349,-353.1741943359375,-1933.588134765625,
17,3399,-53.22182083129883,-1905.572998046875,
17,3449,0.0,-1894.44775390625,
17,3499,0.0,-1894.44775390625,
17,3527,,,-1894.4476318359375
18,3549,0.0,-1894.44775390625,
18,3599,-6.029350757598877,-1895.33349609375,
18,3649,-1062.172119140625,-1958.148681640625,
18,3699,-130.47361755371094,-1908.114013671875,
18,3723,,,-1894.4476318359375
19,3749,-118.49110412597656,-1908.1256103515625,
19,3799,0.0006584396469406784,-1890.9429931640625,
19,3849,0.00016503073857165873,-1890.9429931640625,
19,3899,0.00022017984883859754,-1890.9429931640625,
19,3919,,,-1890.9429931640625
