epoch,step,train/loss,train/reward,val/reward
0,49,126879.359375,-21978.78515625,
0,99,5794.3203125,-23096.744140625,
0,149,87658.3203125,-20652.552734375,
0,199,69428.1484375,-20474.08203125,
0,249,146570.734375,-20509.1328125,
0,299,-30745.66015625,-21112.041015625,
0,349,131132.84375,-20714.67578125,
0,390,,,-20801.869140625
1,399,-349908.21875,-21677.06640625,
1,449,-3035767.25,-27339.37109375,
1,499,-241108.390625,-21116.380859375,
1,549,-242904.90625,-21247.83984375,
1,599,-213465.109375,-20936.8203125,
1,649,-334878.40625,-21361.8046875,
1,699,-301239.0625,-21046.73828125,
1,749,-226552.203125,-20899.919921875,
1,781,,,-21247.5703125
2,799,-336188.5625,-21238.5078125,
2,849,-307512.96875,-21488.521484375,
2,899,-322389.65625,-21286.85546875,
