epoch,step,train/loss,train/reward,val/reward
0,49,5.933398246765137,-13.620733261108398,
0,99,-2.1168880462646484,-13.275766372680664,
0,149,0.38728344440460205,-12.817670822143555,
0,195,,,-11.85574722290039
1,199,-32.88654327392578,-12.687700271606445,
1,249,-22.395584106445312,-12.543259620666504,
1,299,-9.593090057373047,-12.187103271484375,
1,349,-4.560378074645996,-11.951021194458008,
1,391,,,-11.474081993103027
2,399,-12.409873962402344,-11.771875381469727,
2,449,-10.262279510498047,-11.829894065856934,
2,499,-11.16701889038086,-11.885546684265137,
2,549,-4.9366912841796875,-11.600483894348145,
2,587,,,-11.353521347045898
