epoch,step,train/loss,train/reward,val/reward
0,49,112042.1171875,-28968.31640625,
0,99,18371.373046875,-25901.87890625,
0,149,6871.4345703125,-24228.080078125,
0,195,,,-25649.943359375
1,199,219896.765625,-22153.080078125,
1,249,146586.5625,-22865.10546875,
1,299,271471.125,-19939.548828125,
1,349,318870.96875,-19321.203125,
1,391,,,-18748.369140625
2,399,11311.95703125,-18578.98828125,
2,449,3768.81689453125,-18516.17578125,
2,499,68423.9375,-16462.982421875,
2,549,55394.7265625,-17649.796875,
2,587,,,-17432.28125
3,599,77836.515625,-14923.99609375,
3,649,97199.3984375,-14653.3359375,
3,699,106694.328125,-14075.0673828125,
3,749,34151.7421875,-16172.4169921875,
3,783,,,-13261.7099609375
4,799,-45217.53125,-14676.0283203125,
4,849,-34518.56640625,-14735.427734375,
4,899,32255.0,-12095.9921875,
4,949,-22305.380859375,-13604.58984375,
4,979,,,-11713.755859375
5,999,-29809.177734375,-12604.681640625,
5,1049,-26870.45703125,-12065.8994140625,
5,1099,-44010.8515625,-12793.42578125,
5,1149,-36600.99609375,-12441.7578125,
5,1175,,,-14460.064453125
6,1199,-13517.9287109375,-12143.740234375,
6,1249,-23762.142578125,-12432.501953125,
6,1299,-16232.94921875,-12012.703125,
6,1349,17015.890625,-11045.923828125,
6,1371,,,-9614.14453125
7,1399,-54721.640625,-11594.142578125,
7,1449,-26035.6640625,-10563.3798828125,
7,1499,-18989.16796875,-10191.91796875,
7,1549,-27381.615234375,-10163.3515625,
7,1567,,,-10653.8974609375
8,1599,-21686.91796875,-10109.626953125,
8,1649,-34821.8203125,-10740.0009765625,
8,1699,-27599.921875,-10692.923828125,
8,1749,-25954.662109375,-10534.69140625,
8,1763,,,-8914.9091796875
9,1799,-16936.23828125,-9364.703125,
9,1849,-8372.408203125,-9200.310546875,
9,1899,-4108.37939453125,-8863.4228515625,
9,1949,-1233.931640625,-8671.33203125,
9,1959,,,-7668.48583984375
10,1999,-35081.265625,-9021.302734375,
10,2049,-27170.83203125,-8805.7880859375,
10,2099,-29475.16796875,-8639.513671875,
10,2149,-17960.57421875,-8345.830078125,
10,2155,,,-7407.0009765625
11,2199,-42481.71875,-9095.8837890625,
11,2249,-15414.705078125,-8071.197265625,
11,2299,-25244.865234375,-8352.806640625,
11,2349,-9190.380859375,-7843.515625,
