epoch,step,train/loss,train/reward,val/reward
0,49,4.12254524230957,-13.588333129882812,
0,99,-1.244834065437317,-13.155065536499023,
0,149,-4.573507785797119,-12.970772743225098,
0,195,,,-11.880514144897461
1,199,-25.146255493164062,-12.53963851928711,
1,249,-23.001384735107422,-12.739543914794922,
1,299,-9.993834495544434,-12.225706100463867,
1,349,-1.5935170650482178,-11.927456855773926,
1,391,,,-11.382460594177246
2,399,-10.262950897216797,-11.789199829101562,
2,449,-8.435199737548828,-11.655515670776367,
2,499,-10.079710960388184,-11.73199462890625,
2,549,-3.300987482070923,-11.410842895507812,
2,587,,,-11.21766185760498
