epoch,step,train/loss,train/reward,val/reward
0,49,31919.91796875,-6574.330078125,
0,99,7959.50537109375,-5078.5625,
0,149,-4462.849609375,-4739.7392578125,
0,195,,,-4183.6396484375
1,199,-17818.484375,-4482.447265625,
1,249,-3975.097412109375,-4250.9970703125,
1,299,5585.5234375,-4057.30224609375,
1,349,14081.435546875,-3951.0390625,
1,391,,,-3553.208740234375
2,399,-15995.3388671875,-3929.08837890625,
2,449,-14346.2294921875,-3858.9541015625,
2,499,-11232.4794921875,-3837.9658203125,
2,549,-33611.90625,-4334.8828125,
2,587,,,-3755.595947265625
3,599,-21545.37109375,-4070.365478515625,
3,649,-7034.25439453125,-3699.79296875,
3,699,-2378.01123046875,-3641.678955078125,
3,749,-1677.4146728515625,-3618.44921875,
3,783,,,-3398.50634765625
4,799,-33233.82421875,-4279.3271484375,
4,849,-5336.13330078125,-3589.81982421875,
4,899,-12783.18359375,-3779.4140625,
4,949,-8952.4150390625,-3615.6103515625,
4,979,,,-3326.5537109375
5,999,-2485.911865234375,-3433.2265625,
5,1049,-2898.70751953125,-3474.115234375,
5,1099,-5201.611328125,-3508.997314453125,
5,1149,-2799.96240234375,-3428.7958984375,
5,1175,,,-3307.545166015625
6,1199,-5203.9873046875,-3486.4375,
6,1249,-533.7083129882812,-3318.1064453125,
6,1299,-1905.695556640625,-3386.933837890625,
6,1349,-2906.94482421875,-3385.65185546875,
6,1371,,,-3324.778564453125
7,1399,-1989.3179931640625,-3378.725341796875,
7,1449,-11983.732421875,-3675.818603515625,
7,1499,2345.546875,-3142.8447265625,
7,1549,1012.1121826171875,-3316.671142578125,
7,1567,,,-3140.268798828125
8,1599,-4170.6513671875,-3238.9013671875,
8,1649,-3739.5185546875,-3310.159912109375,
8,1699,-4227.73681640625,-3302.022216796875,
8,1749,-7294.9970703125,-3373.3662109375,
8,1763,,,-3059.466552734375
9,1799,-3877.0654296875,-3184.12841796875,
9,1849,-5453.056640625,-3179.762451171875,
9,1899,-7105.5205078125,-3233.117919921875,
9,1949,-597.732421875,-3108.39306640625,
9,1959,,,-3086.479248046875
10,1999,-7960.5478515625,-3289.70849609375,
10,2049,-2513.47802734375,-3113.12744140625,
10,2099,421.3978271484375,-3082.656005859375,
10,2149,-2324.040771484375,-3151.6884765625,
10,2155,,,-3005.056396484375
11,2199,976.4291381835938,-2959.51708984375,
11,2249,611.8052978515625,-2979.03125,
11,2299,-1138.199462890625,-3004.65478515625,
11,2349,-2594.441650390625,-3179.325439453125,
11,2351,,,-2939.379150390625
12,2399,-5036.8134765625,-3089.075927734375,
12,2449,-2279.54345703125,-3047.1337890625,
12,2499,-5267.8837890625,-3098.314697265625,
12,2547,,,-2923.284912109375
13,2549,-5039.74658203125,-3138.190185546875,
13,2599,-1187.5810546875,-2953.5126953125,
13,2649,-2775.45068359375,-3002.32080078125,
13,2699,-6570.134765625,-3171.120849609375,
13,2743,,,-2846.064208984375
14,2749,-2098.78125,-2930.51708984375,
14,2799,-914.7095336914062,-2832.900390625,
14,2849,-3829.638427734375,-2971.27392578125,
14,2899,-211.8649139404297,-2851.2958984375,
14,2939,,,-2833.91259765625
15,2949,-4998.7822265625,-3104.81689453125,
15,2999,780.1139526367188,-2772.62109375,
15,3049,346.2765808105469,-2796.76123046875,
15,3099,-2399.138427734375,-2984.8271484375,
15,3135,,,-2781.586181640625
16,3149,457.79193115234375,-2688.071533203125,
16,3199,-5924.390625,-2963.1005859375,
16,3249,-5346.6376953125,-2931.4013671875,
16,3299,-2364.17138671875,-2798.25732421875,
16,3331,,,-2734.593017578125
17,3349,-2467.977783203125,-2807.36865234375,
17,3399,-3711.197021484375,-2820.667236328125,
17,3449,-1480.6842041015625,-2746.6591796875,
17,3499,438.15460205078125,-2690.7021484375,
17,3527,,,-2706.3359375
18,3549,-2827.438232421875,-2847.896484375,
18,3599,-4621.751953125,-2904.57861328125,
18,3649,-3714.814453125,-2849.5390625,
18,3699,-1154.64794921875,-2735.81494140625,
18,3723,,,-2714.29931640625
19,3749,-2159.833984375,-2754.951904296875,
19,3799,-262.2373046875,-2730.875244140625,
19,3849,-2918.388671875,-2758.16357421875,
19,3899,-2431.52783203125,-2749.080078125,
19,3919,,,-2624.03369140625
20,3949,-2395.953125,-2732.77587890625,
20,3999,-2762.8232421875,-2739.8447265625,
20,4049,1342.822509765625,-2601.4697265625,
20,4099,-6849.95068359375,-2865.30615234375,
20,4115,,,-2549.3671875
21,4149,-3342.21044921875,-2619.05615234375,
21,4199,-3540.267822265625,-2640.4375,
21,4249,-1174.6214599609375,-2584.59033203125,
21,4299,-2669.7939453125,-2606.685546875,
21,4311,,,-2433.018310546875
22,4349,-1303.5096435546875,-2484.84375,
22,4399,-3620.23779296875,-2629.07421875,
22,4449,-3516.6435546875,-2636.89306640625,
22,4499,-3877.0615234375,-2585.486572265625,
22,4507,,,-2502.620849609375
23,4549,-2087.49609375,-2514.240966796875,
23,4599,-3963.33642578125,-2600.9951171875,
23,4649,-5433.736328125,-2638.804931640625,
23,4699,-6531.3271484375,-2697.005615234375,
