epoch,step,train/loss,train/reward,val/reward
0,49,156924144.0,-12470.392578125,
0,99,81825304.0,-8474.876953125,
0,149,21560414.0,-4068.37158203125,
0,199,11923561.0,-3084.351806640625,
0,249,7355696.0,-2273.089111328125,
0,299,1577542.25,-1083.969970703125,
0,349,1310487.875,-908.5001220703125,
0,390,,,-3028.81591796875
1,399,2195606.25,-1025.423828125,
1,449,691937.6875,-614.6995849609375,
1,499,506341.1875,-419.6776123046875,
1,549,311772.90625,-347.77374267578125,
1,599,671675.3125,-442.66973876953125,
1,649,60446.578125,-153.42791748046875,
1,699,88761.7265625,-121.50755310058594,
1,749,388824.8125,-282.9983215332031,
1,781,,,-46.944026947021484
2,799,234001.390625,-290.8270263671875,
2,849,480738.5,-294.7916564941406,
2,899,934112.5,-709.41650390625,
2,949,371911.0,-172.28732299804688,
2,999,567013.875,-210.72500610351562,
2,1049,105285.9296875,-123.90469360351562,
2,1099,92581.578125,-89.39004516601562,
2,1149,555012.25,-295.1656494140625,
2,1172,,,-55.089168548583984
3,1199,451770.875,-252.83934020996094,
3,1249,54331.015625,-72.00857543945312,
3,1299,500844.21875,-154.38143920898438,
3,1349,25534.2109375,-55.99209976196289,
3,1399,107571.0390625,-119.17327880859375,
3,1449,35507.9453125,-78.34793853759766,
3,1499,214587.5625,-175.2795867919922,
3,1549,69136.640625,-94.06095886230469,
3,1563,,,-51.14768981933594
4,1599,7710.859375,-62.65764617919922,
4,1649,23962.59765625,-90.22483825683594,
4,1699,278492.46875,-104.05228424072266,
4,1749,41662.21484375,-62.18593215942383,
4,1799,4776.4462890625,-45.066810607910156,
4,1849,6263.17626953125,-47.88121795654297,
4,1899,15041.48828125,-57.76329040527344,
4,1949,6962.708984375,-57.16663360595703,
4,1954,,,-4050.034423828125
5,1999,42077.25390625,-67.18394470214844,
5,2049,2603.75,-47.671653747558594,
5,2099,383425.625,-161.43319702148438,
5,2149,55490.796875,-84.74420166015625,
5,2199,65276.73828125,-75.64095306396484,
5,2249,1923.572265625,-46.62366485595703,
5,2299,51305.8203125,-80.79997253417969,
5,2345,,,-39.57087707519531
6,2349,22337.466796875,-58.097957611083984,
6,2399,89411.515625,-80.44844818115234,
6,2449,257216.53125,-145.43917846679688,
6,2499,32348.21875,-59.51782989501953,
6,2549,907.2239990234375,-40.07672882080078,
6,2599,68414.90625,-88.58087921142578,
6,2649,861.156005859375,-36.80315399169922,
6,2699,1855.7908935546875,-40.07344055175781,
6,2736,,,-28.92775535583496
7,2749,16106.53515625,-50.98894500732422,
7,2799,62492.125,-64.37425994873047,
7,2849,1291.6702880859375,-30.31723403930664,
7,2899,1193.6927490234375,-36.172630310058594,
7,2949,6014.83154296875,-37.83938980102539,
7,2999,1076.7738037109375,-31.529876708984375,
7,3049,109782.625,-71.28315734863281,
7,3099,17607.71484375,-54.48918151855469,
7,3127,,,-3023.691650390625
8,3149,64672.4375,-51.95987319946289,
8,3199,157484.53125,-116.59169006347656,
8,3249,56477.20703125,-91.53652954101562,
8,3299,241.03057861328125,-26.117036819458008,
8,3349,36352.9921875,-42.3051872253418,
8,3399,685.8400268554688,-25.13274574279785,
8,3449,41230.8515625,-54.62931442260742,
8,3499,1268.6123046875,-29.377668380737305,
8,3518,,,-24.137176513671875
9,3549,1065.03857421875,-28.104825973510742,
9,3599,32597.859375,-46.86732482910156,
9,3649,36637.53125,-42.668067932128906,
9,3699,1059.3878173828125,-27.760526657104492,
9,3749,12724.3544921875,-39.0797119140625,
9,3799,562.3690795898438,-25.238414764404297,
9,3849,-90.31299591064453,-24.503908157348633,
9,3899,127.89933776855469,-25.052196502685547,
9,3909,,,-22.9991455078125
