epoch,step,train/loss,train/reward,val/reward
0,49,120608.1953125,-8668.05859375,
0,97,,,-4512.5302734375
1,99,-17824.13671875,-4806.728515625,
1,149,2186.79150390625,-4452.4501953125,
1,195,,,-3932.201171875
2,199,-374.0445556640625,-3923.579345703125,
2,249,2331.2880859375,-3802.847900390625,
2,293,,,-3493.0546875
3,299,-5043.55126953125,-3739.5859375,
3,349,-170.811279296875,-3486.437255859375,
3,391,,,-2904.9921875
4,399,-5150.5205078125,-3246.43017578125,
4,449,775.1903076171875,-2708.611572265625,
4,489,,,-2601.843505859375
5,499,-828.7741088867188,-2692.534912109375,
5,549,-61.59637451171875,-2609.91552734375,
5,587,,,-2601.843505859375
6,599,-244.2509765625,-2617.66015625,
6,649,-444.18597412109375,-2634.74951171875,
6,685,,,-2700.99609375
7,699,-740.537109375,-2727.51806640625,
7,749,-487.3292236328125,-2629.88671875,
7,783,,,-2655.63330078125
8,799,-518.2799072265625,-2633.0419921875,
8,849,-138.7842559814453,-2601.439208984375,
8,881,,,-2588.822265625
9,899,-140.15594482421875,-2616.6201171875,
9,949,-12.242392539978027,-2590.200927734375,
9,979,,,-2588.822265625
