epoch,step,train/loss,train/reward,val/reward
0,49,52024.26171875,-7453.10009765625,
0,97,,,-3863.9599609375
1,99,-77533.9453125,-5315.5419921875,
1,149,-10918.130859375,-4132.0146484375,
1,195,,,-3769.26611328125
2,199,-4593.6162109375,-3931.737060546875,
2,249,-8810.890625,-4117.8154296875,
2,293,,,-3650.13330078125
3,299,-9533.60546875,-4166.48388671875,
3,349,-2312.48583984375,-3787.96240234375,
3,391,,,-3613.11767578125
4,399,-219.49659729003906,-3620.94140625,
4,449,47.06016540527344,-3593.156005859375,
4,489,,,-3566.00830078125
5,499,-38.938316345214844,-3590.192626953125,
5,549,-52.983665466308594,-3587.12255859375,
5,587,,,-3582.56201171875
6,599,-508.37939453125,-3618.67919921875,
6,649,-36.19584274291992,-3583.400390625,
6,685,,,-3582.56201171875
7,699,-177.58468627929688,-3594.69287109375,
