epoch,step,train/loss,train/reward,val/reward
0,49,1.8170397281646729,-13.880191802978516,
0,99,-2.277958393096924,-13.112066268920898,
0,149,2.9231486320495605,-12.637903213500977,
0,195,,,-11.919490814208984
1,199,-31.289691925048828,-12.6178617477417,
1,249,-10.691076278686523,-12.281343460083008,
1,299,-8.716005325317383,-11.995226860046387,
1,349,-4.797150611877441,-11.976153373718262,
1,391,,,-11.584031105041504
2,399,-9.568290710449219,-11.864690780639648,
2,449,-6.528749465942383,-11.753973960876465,
2,499,-4.289356231689453,-11.650444030761719,
2,549,-3.890519857406616,-11.669527053833008,
2,587,,,-11.362529754638672
