epoch,step,train/loss,train/reward,val/reward
0,49,7.580900192260742,-15.519718170166016,
0,99,-6.878592491149902,-15.222557067871094,
0,149,4.3222150802612305,-14.252047538757324,
0,195,,,-13.26915454864502
1,199,-36.978302001953125,-14.129312515258789,
1,249,-18.602209091186523,-13.870990753173828,
1,299,-1.1469002962112427,-13.103736877441406,
1,349,-3.8818235397338867,-13.343528747558594,
1,391,,,-12.679676055908203
2,399,-15.983524322509766,-13.199928283691406,
2,449,-17.320049285888672,-13.229904174804688,
2,499,-7.148840427398682,-13.037063598632812,
2,549,-3.674082040786743,-12.801061630249023,
2,587,,,-12.542656898498535
