epoch,step,train/loss,train/reward,val/reward
0,49,86628.640625,-7772.92333984375,
0,97,,,-4587.73779296875
1,99,-87320.515625,-6201.2041015625,
1,149,2224.642578125,-4531.35546875,
1,195,,,-4011.07275390625
2,199,-2269.34326171875,-4062.22412109375,
2,249,2951.66357421875,-3866.52099609375,
2,293,,,-3332.881591796875
3,299,-19541.90625,-4165.44482421875,
3,349,-8520.873046875,-3708.2138671875,
3,391,,,-3519.315185546875
4,399,-5808.88671875,-3683.512451171875,
4,449,558.4910278320312,-3214.2109375,
4,489,,,-3024.883056640625
5,499,-114.31155395507812,-3036.25244140625,
5,549,-29326.515625,-4892.89599609375,
5,587,,,-9128.673828125
6,599,-15345.109375,-3757.7763671875,
6,649,-14491.45703125,-4445.767578125,
6,685,,,-3155.3232421875
7,699,-2172.53076171875,-3294.879638671875,
7,749,8.373054504394531,-2988.717041015625,
7,783,,,-2962.16015625
8,799,-206.89341735839844,-3000.8291015625,
8,849,-1032.838134765625,-3060.975830078125,
8,881,,,-2976.8935546875
9,899,-412.0660705566406,-3005.54931640625,
9,949,-1661.19580078125,-3109.22265625,
9,979,,,-2986.6064453125
10,999,-2088.978515625,-3132.487548828125,
10,1049,-883.165771484375,-3011.18505859375,
10,1077,,,-2956.284912109375
11,1099,-79.92416381835938,-2965.77490234375,
11,1149,-0.3101472854614258,-2956.32275390625,
11,1175,,,-2956.284912109375
12,1199,-833.5297241210938,-3083.6083984375,
12,1249,-98.55815887451172,-2965.551513671875,
12,1273,,,-2980.6640625
13,1299,-3.9999399185180664,-2956.5771484375,
13,1349,0.0,-2956.28466796875,
13,1371,,,-2955.054931640625
14,1399,-0.2870720624923706,-2954.9716796875,
14,1449,-404.937744140625,-2986.885498046875,
14,1469,,,-2955.054931640625
15,1499,-3.946249008178711,-2940.7900390625,
15,1549,11.884246826171875,-2934.794677734375,
15,1567,,,-2969.7138671875
16,1599,-15.531686782836914,-2972.630859375,
16,1649,-7105.40087890625,-3534.571533203125,
16,1665,,,-2942.563720703125
17,1699,-308.4868469238281,-2962.61962890625,
17,1749,17.985206604003906,-2929.45654296875,
17,1763,,,-2962.398193359375
18,1799,5.408377647399902,-2940.71630859375,
18,1849,-403.6611633300781,-2955.23388671875,
18,1861,,,-2938.6591796875
19,1899,11.090606689453125,-2930.664306640625,
19,1949,12.455001831054688,-2929.67529296875,
19,1959,,,-2927.878662109375
20,1999,11.657814025878906,-2930.24951171875,
20,2049,11.613003730773926,-2930.281982421875,
20,2057,,,-2927.878662109375
21,2099,10.373685836791992,-2931.1787109375,
21,2149,1.6461524963378906,-2930.39697265625,
21,2155,,,-2927.878662109375
22,2199,11.31344985961914,-2930.498046875,
22,2249,12.025371551513672,-2929.984375,
22,2253,,,-2927.878662109375
23,2299,12.528112411499023,-2929.62158203125,
23,2349,10.785332679748535,-2930.87890625,
23,2351,,,-2927.878662109375
24,2399,13.705446243286133,-2928.77294921875,
24,2449,11.170035362243652,-2930.601318359375,
24,2449,,,-2927.878662109375
25,2499,11.695989608764648,-2930.22216796875,
25,2547,,,-2927.878662109375
26,2549,10.945823669433594,-2930.762939453125,
26,2599,12.814857482910156,-2929.41455078125,
26,2645,,,-2927.878662109375
27,2649,11.11502456665039,-2930.640869140625,
27,2699,11.384780883789062,-2930.4462890625,
27,2743,,,-2927.878662109375
28,2749,14.112443923950195,-2928.478759765625,
28,2799,12.2437744140625,-2929.82666015625,
28,2841,,,-2927.878662109375
29,2849,11.021121978759766,-2930.70849609375,
29,2899,11.875688552856445,-2930.092041015625,
29,2939,,,-2927.878662109375
