epoch,step,train/loss,train/reward,val/reward
0,49,7552.22705078125,-7736.4462890625,
0,99,5370.89599609375,-4910.4609375,
0,149,-5032.751953125,-4537.1591796875,
0,195,,,-4222.45947265625
1,199,-10623.107421875,-4385.7548828125,
1,249,12790.0,-3899.626953125,
1,299,19979.93359375,-3789.80615234375,
1,349,13621.81640625,-3919.230224609375,
1,391,,,-3531.804443359375
2,399,-11210.2939453125,-3830.18603515625,
2,449,-8956.849609375,-3791.373291015625,
2,499,-13607.419921875,-3900.22802734375,
2,549,-1669.832275390625,-3612.779296875,
2,587,,,-3705.489990234375
3,599,-6016.31103515625,-3709.51513671875,
3,649,-1221.2176513671875,-3535.3837890625,
3,699,-8237.6376953125,-3609.235595703125,
3,749,-7068.384765625,-3713.3583984375,
3,783,,,-3376.187255859375
4,799,-2061.07568359375,-3433.56103515625,
4,849,-3432.08544921875,-3548.02490234375,
4,899,379.2383117675781,-3390.63134765625,
4,949,-257.05615234375,-3393.08935546875,
4,979,,,-3355.008544921875
5,999,-2528.785888671875,-3457.88671875,
5,1049,-2294.27734375,-3509.38818359375,
5,1099,253.71612548828125,-3293.81201171875,
5,1149,2324.083984375,-3363.81640625,
5,1175,,,-3420.6396484375
6,1199,-1262.19677734375,-3466.9111328125,
6,1249,-902.2220458984375,-3396.7470703125,
6,1299,1653.234619140625,-3383.376953125,
6,1349,-1645.0482177734375,-3380.5419921875,
6,1371,,,-3252.640869140625
7,1399,1343.239501953125,-3129.5224609375,
7,1449,-489.945556640625,-3237.26416015625,
7,1499,528.9351806640625,-3207.5849609375,
7,1549,-1157.383056640625,-3273.7744140625,
7,1567,,,-3107.39208984375
8,1599,-7927.8125,-3323.57177734375,
8,1649,-1110.6319580078125,-3156.838623046875,
8,1699,-3912.7392578125,-3270.257080078125,
8,1749,289.36553955078125,-3123.86279296875,
8,1763,,,-3133.65673828125
9,1799,-1717.2452392578125,-3229.128173828125,
9,1849,-314.9818115234375,-3102.22802734375,
9,1899,2283.351318359375,-2997.70947265625,
9,1949,5023.91162109375,-2912.1875,
9,1959,,,-2893.781005859375
10,1999,-5056.279296875,-3068.46630859375,
10,2049,-2551.56689453125,-2975.79248046875,
10,2099,-1904.4091796875,-2924.96044921875,
10,2149,-5168.154296875,-3065.99560546875,
10,2155,,,-2967.277587890625
