epoch,step,train/loss,train/reward,val/reward
0,49,7.949116230010986,-15.336395263671875,
0,99,-4.71476936340332,-14.83273696899414,
0,149,-3.836954355239868,-14.297719955444336,
0,195,,,-13.180597305297852
1,199,-38.242820739746094,-14.0245943069458,
1,249,-8.630616188049316,-13.51862907409668,
1,299,-0.32781553268432617,-13.202351570129395,
1,349,-2.934878349304199,-13.264432907104492,
1,391,,,-12.750602722167969
2,399,-13.072392463684082,-13.166210174560547,
2,449,-9.271766662597656,-13.021925926208496,
2,499,-6.181161880493164,-13.01569938659668,
2,549,-4.101316928863525,-12.797615051269531,
2,587,,,-12.517701148986816
