epoch,step,train/loss,train/reward,val/reward
0,49,95008.3828125,-7366.1513671875,
0,97,,,-4139.91357421875
1,99,-28333.115234375,-4679.251953125,
1,149,1158.59375,-4078.625732421875,
1,195,,,-3574.980712890625
2,199,-7605.234375,-3874.68310546875,
2,249,99.37110900878906,-3556.483642578125,
2,293,,,-3527.07080078125
3,299,-245.43612670898438,-3510.376708984375,
3,349,60.50086212158203,-3482.80859375,
3,391,,,-3414.13330078125
4,399,-87.47076416015625,-3400.5400390625,
4,449,-10734.0166015625,-3988.0546875,
4,489,,,-3255.718994140625
5,499,-5118.8515625,-3916.55322265625,
5,549,608.5130615234375,-2983.8974609375,
5,587,,,-2092.285400390625
6,599,-993.1754150390625,-2226.010986328125,
6,649,-266.9359130859375,-2094.40673828125,
6,685,,,-1970.773193359375
7,699,-72.40191650390625,-1983.8834228515625,
7,749,-57.51252365112305,-1976.201416015625,
7,783,,,-1970.773193359375
8,799,-28.898296356201172,-1973.741455078125,
8,849,-633.4669189453125,-2045.14990234375,
8,881,,,-1970.773193359375
9,899,-1.7334656715393066,-1970.9176025390625,
9,949,-9.834404945373535,-1971.57763671875,
9,979,,,-1970.124755859375
10,999,-75.73704528808594,-1974.704833984375,
10,1049,-511.78826904296875,-1996.83056640625,
10,1077,,,-1970.124755859375
11,1099,-32.180267333984375,-1973.4873046875,
11,1149,-6206.7744140625,-2903.204833984375,
11,1175,,,-1970.124755859375
12,1199,0.0,-1970.124755859375,
12,1249,-47.69511413574219,-1975.24462890625,
12,1273,,,-1970.124755859375
13,1299,-21.35677719116211,-1972.10302734375,
13,1349,-32150.203125,-3720.16552734375,
13,1371,,,-1970.124755859375
14,1399,-2882.1181640625,-2253.094482421875,
14,1449,-19.890380859375,-1972.8626708984375,
14,1469,,,-1970.124755859375
15,1499,-70.9994888305664,-1977.630859375,
15,1549,-0.78944331407547,-1968.7249755859375,
15,1567,,,-1970.124755859375
16,1599,2.8393001230142545e-06,-1970.124755859375,
16,1649,-56.474815368652344,-1975.7752685546875,
16,1665,,,-1970.124755859375
17,1699,-35.87562942504883,-1975.29833984375,
17,1749,0.0,-1970.124755859375,
17,1763,,,-1970.124755859375
18,1799,-12.08540153503418,-1972.8953857421875,
18,1849,-30.236413955688477,-1971.9393310546875,
18,1861,,,-1968.510009765625
19,1899,-29.65292739868164,-1971.277587890625,
19,1949,-9.769905090332031,-1970.403564453125,
19,1959,,,-1968.510009765625
