epoch,step,train/loss,train/reward,val/reward
0,49,70851.3125,-13790.505859375,
0,99,11530.3583984375,-10691.654296875,
0,149,-5625.986328125,-9722.9619140625,
0,195,,,-7006.45263671875
1,199,-153090.96875,-9701.41796875,
1,249,-90410.671875,-9044.193359375,
1,299,-46637.51171875,-7957.55908203125,
1,349,-11408.712890625,-7234.912109375,
1,391,,,-7315.27685546875
2,399,6078.55712890625,-6962.6611328125,
2,449,15801.00390625,-6696.0498046875,
2,499,-33628.4296875,-7947.5302734375,
2,549,-27756.48828125,-7940.1728515625,
2,587,,,-6408.42578125
3,599,-15531.69921875,-6882.50146484375,
3,649,174.72552490234375,-6440.67529296875,
3,699,5002.53125,-6183.369140625,
3,749,-22910.171875,-7015.1826171875,
3,783,,,-6292.40087890625
4,799,-17232.11328125,-6785.60888671875,
4,849,-24132.578125,-7008.380859375,
4,899,-13677.2216796875,-6406.35546875,
4,949,-4713.35546875,-6372.3974609375,
4,979,,,-5430.4765625
5,999,-14842.396484375,-5947.55419921875,
5,1049,-40607.8125,-6880.50439453125,
5,1099,-5822.8271484375,-5501.1611328125,
5,1149,-51820.37890625,-7093.13671875,
5,1175,,,-5598.31982421875
6,1199,-7287.248046875,-5543.4541015625,
6,1249,-9665.83984375,-5889.716796875,
6,1299,-5321.783203125,-5563.0546875,
6,1349,-25235.953125,-6363.14453125,
6,1371,,,-5180.8349609375
7,1399,-8783.392578125,-5545.74609375,
7,1449,-4274.4833984375,-5321.33984375,
7,1499,-16375.56640625,-5701.88671875,
7,1549,-3985.7607421875,-5407.72802734375,
7,1567,,,-4643.84423828125
8,1599,-12279.638671875,-5197.162109375,
8,1649,-16450.73046875,-5289.56494140625,
8,1699,-26300.5,-5510.072265625,
8,1749,-8012.4150390625,-4889.07275390625,
8,1763,,,-4909.64013671875
9,1799,-27430.974609375,-5620.1015625,
9,1849,-9670.708984375,-5071.36767578125,
9,1899,-17188.0390625,-5322.1884765625,
9,1949,-8531.703125,-5005.5419921875,
9,1959,,,-4457.3837890625
10,1999,-15407.46484375,-5072.2255859375,
10,2049,-9436.541015625,-4684.8271484375,
10,2099,-8120.5361328125,-4774.62548828125,
10,2149,-7637.70849609375,-4743.9853515625,
10,2155,,,-4389.4453125
11,2199,-10734.42578125,-4643.1181640625,
11,2249,-3528.378173828125,-4546.62109375,
11,2299,-14104.859375,-4970.357421875,
11,2349,-15921.275390625,-4907.6484375,
11,2351,,,-4490.943359375
12,2399,-6807.4375,-4549.55908203125,
12,2449,-12679.4853515625,-4911.8203125,
12,2499,-10843.212890625,-4765.3564453125,
12,2547,,,-4222.31103515625
13,2549,-17503.68359375,-4697.99072265625,
13,2599,-8278.5810546875,-4441.6318359375,
13,2649,-17463.4609375,-4932.69921875,
13,2699,-1503.5517578125,-4317.01806640625,
13,2743,,,-4409.5966796875
14,2749,-14119.3310546875,-4702.67041015625,
14,2799,-4626.52099609375,-4480.10498046875,
14,2849,-6148.97265625,-4538.29443359375,
14,2899,-5810.09423828125,-4630.9560546875,
14,2939,,,-4003.70166015625
15,2949,-11391.505859375,-4600.90625,
15,2999,-6422.287109375,-4190.39111328125,
15,3049,-14003.9560546875,-4445.41455078125,
15,3099,-3454.6376953125,-4122.2763671875,
15,3135,,,-3910.1171875
16,3149,-6082.63134765625,-4329.5458984375,
16,3199,-3.5653076171875,-4080.572265625,
16,3249,-3824.12109375,-4113.0029296875,
16,3299,-2159.65869140625,-3885.154296875,
16,3331,,,-3815.260498046875
17,3349,-11210.802734375,-4308.2939453125,
17,3399,-2807.361328125,-3940.12548828125,
17,3449,-5606.9169921875,-4014.8271484375,
17,3499,-7935.630859375,-4099.6015625,
17,3527,,,-3706.76953125
18,3549,-8910.9853515625,-4157.9287109375,
18,3599,-6002.37890625,-4024.938232421875,
18,3649,-7525.447265625,-4011.904296875,
18,3699,-6219.5205078125,-4123.90966796875,
18,3723,,,-3635.06396484375
19,3749,-1605.95703125,-3791.8115234375,
19,3799,-5893.7685546875,-3939.634033203125,
19,3849,-11670.970703125,-4174.3896484375,
19,3899,-1574.3194580078125,-3675.654296875,
19,3919,,,-3648.673095703125
20,3949,-11665.8291015625,-4154.427734375,
20,3999,-11734.4169921875,-4238.15234375,
20,4049,-5703.185546875,-3882.223388671875,
20,4099,-4476.3984375,-3781.259765625,
20,4115,,,-3720.393310546875
21,4149,-9812.6669921875,-4146.119140625,
21,4199,-214.12652587890625,-3627.15771484375,
21,4249,-7328.42431640625,-3937.81884765625,
21,4299,-1599.3013916015625,-3696.45361328125,
21,4311,,,-3601.53759765625
22,4349,-6179.48095703125,-3840.6376953125,
22,4399,-3207.89404296875,-3727.783935546875,
22,4449,-2549.968017578125,-3618.423583984375,
22,4499,-2113.609375,-3719.080078125,
22,4507,,,-3462.7744140625
23,4549,-3725.561767578125,-3612.99609375,
23,4599,-299.2357177734375,-3488.271484375,
23,4649,-7996.546875,-3875.626708984375,
23,4699,-3325.633544921875,-3691.40380859375,
23,4703,,,-3399.563720703125
24,4749,-7156.54248046875,-3806.045166015625,
24,4799,-4333.7958984375,-3599.885009765625,
24,4849,-9002.822265625,-3810.250732421875,
24,4899,-3320.698486328125,-3436.09765625,
24,4899,,,-3251.051513671875
25,4949,-6573.2861328125,-3556.8759765625,
25,4999,-6550.0703125,-3680.52734375,
25,5049,-10850.65625,-3855.235107421875,
25,5095,,,-3205.494873046875
26,5099,-6451.8486328125,-3583.27392578125,
26,5149,-6142.76171875,-3618.972900390625,
26,5199,-7363.0341796875,-3617.97900390625,
26,5249,-9710.349609375,-3775.325927734375,
26,5291,,,-3242.447021484375
27,5299,-3082.206787109375,-3376.306396484375,
27,5349,-5509.4140625,-3435.74755859375,
27,5399,-5138.6083984375,-3455.28173828125,
27,5449,-5032.828125,-3547.475341796875,
27,5487,,,-3203.809326171875
