epoch,step,train/loss,train/reward,val/reward
0,49,2.6538450717926025,-15.533735275268555,
0,99,2.8679733276367188,-14.484086036682129,
0,149,-1.761368751525879,-14.52025032043457,
0,195,,,-13.218304634094238
1,199,-42.27192687988281,-14.060669898986816,
1,249,-13.49970531463623,-13.624855041503906,
1,299,-5.967597484588623,-13.280573844909668,
1,349,-3.479753017425537,-13.513439178466797,
1,391,,,-12.743040084838867
2,399,-11.657978057861328,-13.069600105285645,
2,449,-15.596061706542969,-13.079896926879883,
2,499,-16.34609603881836,-13.213329315185547,
2,549,-11.80874252319336,-13.09540843963623,
2,587,,,-12.567882537841797
