epoch,step,train/loss,train/reward,val/reward
0,49,55675.46484375,-8903.8310546875,
0,97,,,-6832.79736328125
1,99,7436.28515625,-6585.6923828125,
1,149,27712.2421875,-6173.7705078125,
1,195,,,-5623.4990234375
2,199,-35955.5625,-6358.8349609375,
2,249,-11089.470703125,-5837.4140625,
2,293,,,-5618.2724609375
3,299,-18900.21484375,-6241.86669921875,
3,349,-16465.298828125,-5843.64990234375,
3,391,,,-5329.041015625
4,399,-1900.585693359375,-5310.5869140625,
4,449,-6825.37841796875,-5402.443359375,
4,489,,,-5237.09619140625
5,499,-649.9833984375,-5245.6806640625,
5,549,8019.4111328125,-4991.61083984375,
5,587,,,-4727.47900390625
6,599,-19169.869140625,-5238.74951171875,
6,649,-18812.078125,-5158.5751953125,
6,685,,,-4728.53564453125
7,699,-6244.791015625,-4859.912109375,
7,749,-6033.009765625,-4971.59619140625,
7,783,,,-4655.24658203125
8,799,-4675.9814453125,-4733.44677734375,
8,849,-10207.6533203125,-4980.970703125,
8,881,,,-5030.900390625
9,899,-7710.2783203125,-4877.26416015625,
9,949,-5226.6884765625,-4774.67138671875,
9,979,,,-4482.89501953125
10,999,-5627.6865234375,-4654.98388671875,
10,1049,-19297.57421875,-4997.923828125,
10,1077,,,-4498.44140625
11,1099,-5639.7734375,-4635.39794921875,
11,1149,-2876.950927734375,-4588.55126953125,
11,1175,,,-4380.076171875
12,1199,-9161.7607421875,-4693.93994140625,
12,1249,-15095.173828125,-4952.72607421875,
12,1273,,,-4520.35888671875
13,1299,-3893.29248046875,-4517.939453125,
13,1349,-9709.763671875,-4717.65478515625,
13,1371,,,-4348.93212890625
14,1399,-6028.58642578125,-4503.20703125,
14,1449,-3483.936767578125,-4458.58984375,
14,1469,,,-4351.23095703125
15,1499,-458.66827392578125,-4412.1630859375,
15,1549,-1058.704833984375,-4411.64599609375,
15,1567,,,-4349.1513671875
16,1599,-9998.6123046875,-4799.49560546875,
16,1649,-15286.9638671875,-4859.693359375,
16,1665,,,-4395.80859375
17,1699,-5144.7724609375,-4487.0087890625,
17,1749,-2091.472412109375,-4407.671875,
17,1763,,,-4501.01708984375
18,1799,-9835.8505859375,-4579.86279296875,
18,1849,-1814.3681640625,-4387.8896484375,
18,1861,,,-4513.142578125
19,1899,-5612.94970703125,-4558.50341796875,
19,1949,-3380.501953125,-4379.8046875,
19,1959,,,-4208.4423828125
20,1999,-4568.50146484375,-4380.03857421875,
20,2049,-3768.271728515625,-4356.10986328125,
20,2057,,,-4139.3779296875
21,2099,-5529.3984375,-4379.0234375,
21,2149,-8965.3056640625,-4462.5380859375,
21,2155,,,-4435.04296875
22,2199,-8818.5908203125,-4441.3525390625,
22,2249,-3727.4775390625,-4420.193359375,
22,2253,,,-4211.23583984375
23,2299,-15204.345703125,-4516.0927734375,
23,2349,-7098.091796875,-4341.6328125,
23,2351,,,-4186.26416015625
24,2399,-1726.33984375,-4193.19482421875,
24,2449,-6917.20458984375,-4396.5498046875,
24,2449,,,-4126.083984375
25,2499,-1397.7686767578125,-4190.56103515625,
25,2547,,,-4215.65869140625
26,2549,-5238.18359375,-4330.2373046875,
26,2599,-7647.4990234375,-4375.4599609375,
26,2645,,,-4122.9423828125
27,2649,-7617.7841796875,-4290.1064453125,
27,2699,-2946.4716796875,-4290.08447265625,
27,2743,,,-4244.22021484375
28,2749,-5589.3125,-4469.3330078125,
28,2799,-5976.0078125,-4286.5205078125,
28,2841,,,-4157.2177734375
29,2849,-1012.4791259765625,-4229.1015625,
29,2899,-245.33056640625,-4192.56689453125,
29,2939,,,-4114.71337890625
30,2949,-1022.901123046875,-4165.1015625,
30,2999,-5223.310546875,-4362.8046875,
30,3037,,,-3982.985107421875
31,3049,-3039.086181640625,-4099.13134765625,
31,3099,-7213.7822265625,-4247.48681640625,
31,3135,,,-4254.40283203125
32,3149,-9918.1396484375,-4334.46533203125,
32,3199,-7938.064453125,-4293.13720703125,
32,3233,,,-4105.95947265625
33,3249,-5090.708984375,-4160.2626953125,
33,3299,-2558.322509765625,-4097.2880859375,
33,3331,,,-4055.069580078125
34,3349,-516.9774169921875,-4085.38232421875,
34,3399,-3382.90087890625,-4118.783203125,
34,3429,,,-4268.9033203125
35,3449,-6242.892578125,-4304.66015625,
35,3499,-1286.0074462890625,-4016.38916015625,
35,3527,,,-4007.04638671875
36,3549,-1004.993408203125,-4080.42626953125,
36,3599,-1866.96728515625,-4085.80322265625,
36,3625,,,-4055.580078125
37,3649,-2302.2451171875,-4082.195556640625,
37,3699,-3099.71142578125,-4098.36181640625,
37,3723,,,-3923.884765625
38,3749,-2708.35791015625,-4059.87255859375,
38,3799,-3972.796630859375,-4060.595703125,
38,3821,,,-3959.365966796875
39,3849,-6627.5654296875,-4182.150390625,
39,3899,-3189.72900390625,-4089.76806640625,
39,3919,,,-3953.553955078125
40,3949,-983.55419921875,-3989.9150390625,
40,3999,-4944.15087890625,-4116.74267578125,
40,4017,,,-4026.00244140625
41,4049,-1900.3704833984375,-3934.52587890625,
41,4099,87.9744873046875,-3949.03662109375,
41,4115,,,-3844.708740234375
42,4149,-9655.09765625,-4203.50341796875,
42,4199,-5852.9072265625,-4056.363525390625,
42,4213,,,-4038.459228515625
43,4249,-4035.55810546875,-4019.2197265625,
43,4299,-5494.14306640625,-4038.2568359375,
43,4311,,,-3959.9033203125
44,4349,-4933.931640625,-4005.20947265625,
44,4399,-1684.112548828125,-3856.28125,
44,4409,,,-3809.4423828125
45,4449,-2123.228515625,-3862.756591796875,
45,4499,-2660.970947265625,-3931.03076171875,
45,4507,,,-3813.552001953125
46,4549,-2712.49951171875,-3900.4599609375,
46,4599,-2830.49658203125,-3930.6357421875,
46,4605,,,-3777.737548828125
47,4649,-617.1640625,-3774.2451171875,
47,4699,-2625.89990234375,-3814.185546875,
47,4703,,,-3651.249267578125
48,4749,-4165.31640625,-3836.314208984375,
48,4799,-3847.49560546875,-3840.07958984375,
48,4801,,,-3695.203125
49,4849,-6125.9990234375,-3913.40625,
49,4899,-2181.5498046875,-3781.662353515625,
49,4899,,,-3691.673095703125
50,4949,-5803.091796875,-3913.26708984375,
50,4997,,,-3730.781494140625
51,4999,-5163.513671875,-3870.6591796875,
51,5049,-6482.8291015625,-3833.822265625,
51,5095,,,-3653.634033203125
52,5099,-2639.31396484375,-3819.62841796875,
52,5149,-3359.44140625,-3802.800537109375,
52,5193,,,-3667.432861328125
53,5199,-3022.20361328125,-3780.3857421875,
53,5249,-4824.0224609375,-3876.015869140625,
53,5291,,,-3656.119140625
54,5299,-6240.00390625,-3837.71435546875,
54,5349,-429.950439453125,-3638.00390625,
54,5389,,,-3527.009521484375
55,5399,-3615.51953125,-3727.590576171875,
55,5449,-1946.4599609375,-3658.083984375,
55,5487,,,-3515.321533203125
56,5499,-2621.8115234375,-3697.35302734375,
56,5549,-1144.9365234375,-3596.4736328125,
56,5585,,,-3597.452392578125
57,5599,-2165.6171875,-3619.46435546875,
57,5649,-2330.68603515625,-3620.218505859375,
57,5683,,,-3736.1552734375
58,5699,-4233.396484375,-3731.971435546875,
58,5749,-6548.265625,-3872.8369140625,
