epoch,step,train/loss,train/reward,val/reward
0,49,-1358799.125,-87458.8515625,
0,99,151076.90625,-36633.8828125,
0,149,-437527.8125,-24030.65625,
0,199,-602141.125,-24234.171875,
0,249,63165.4453125,-18398.3125,
0,299,-519904.9375,-19264.435546875,
0,349,-348642.78125,-19084.3671875,
0,390,,,-18872.193359375
1,399,-2075987.0,-24174.126953125,
1,449,-133979984.0,-330499.3125,
1,499,-221034720.0,-375180.15625,
1,549,-150894048.0,-342300.9375,
1,599,-124220232.0,-282789.65625,
1,649,-168500480.0,-327980.125,
1,699,-166901952.0,-314229.59375,
1,749,-197312288.0,-387096.75,
1,781,,,-212682.921875
