epoch,step,train/loss,train/reward,val/reward
0,49,69751.03125,-5391.916015625,
0,99,1661.094482421875,-4441.3779296875,
0,149,-2224.439453125,-4375.572265625,
0,156,,,-4015.51611328125
1,199,-2893.913330078125,-4084.680419921875,
1,249,1777.3682861328125,-3917.236328125,
1,299,3106.310791015625,-3868.225830078125,
1,313,,,-3791.7724609375
2,349,1748.6021728515625,-3694.334716796875,
2,399,2376.565673828125,-3628.17578125,
2,449,3197.88623046875,-3473.078125,
2,470,,,-3420.902099609375
3,499,-293.73577880859375,-3448.62548828125,
3,549,17.003700256347656,-3413.0537109375,
3,599,-1422.70947265625,-3462.05859375,
3,627,,,-3401.7236328125
4,649,-489.01055908203125,-3444.570556640625,
4,699,-405.5758056640625,-3429.859130859375,
4,749,-96.36138916015625,-3420.749755859375,
4,784,,,-3415.5986328125
5,799,-104.88229370117188,-3421.3193359375,
5,849,-112.32705688476562,-3418.41845703125,
5,899,-3499.69580078125,-3587.88525390625,
5,941,,,-3404.05615234375
6,949,-76.40838623046875,-3408.474853515625,
6,999,-251.27684020996094,-3442.88330078125,
6,1049,-449.95135498046875,-3464.3603515625,
6,1098,,,-3408.95703125
7,1099,-97.1061019897461,-3417.06298828125,
7,1149,-135.22238159179688,-3434.5263671875,
7,1199,-763.1539306640625,-3426.9853515625,
7,1249,-14.580851554870605,-3407.30029296875,
7,1255,,,-3406.273193359375
8,1299,-21.850444793701172,-3407.60595703125,
8,1349,-5.513873100280762,-3406.556396484375,
8,1399,135.28009033203125,-3366.78515625,
8,1412,,,-3358.5732421875
9,1449,200.79241943359375,-3268.646728515625,
9,1499,891.1767578125,-3260.105224609375,
9,1549,4925.6220703125,-2175.466796875,
9,1569,,,-2211.029052734375
10,1599,-15.244956970214844,-2119.921142578125,
10,1649,288.8653869628906,-2106.38134765625,
10,1699,-19300.3515625,-3635.20556640625,
10,1726,,,-2136.650146484375
11,1749,374.18145751953125,-1928.986328125,
11,1799,92.30519104003906,-1919.0126953125,
11,1849,260.26300048828125,-1911.7796630859375,
11,1883,,,-2339.412109375
