epoch,step,train/loss,train/reward,val/reward
0,49,49557.43359375,-6353.95751953125,
0,99,4158.2099609375,-4792.6220703125,
0,149,3217.2216796875,-4327.20751953125,
0,195,,,-3951.939697265625
1,199,-21884.451171875,-4342.98095703125,
1,249,-1902.422607421875,-4002.551025390625,
1,299,-49840.515625,-5228.4423828125,
1,349,-21747.177734375,-4471.7998046875,
1,391,,,-3851.073486328125
2,399,-6405.42138671875,-4029.17919921875,
2,449,-5010.72119140625,-4006.3251953125,
2,499,-1839.6129150390625,-3844.79443359375,
2,549,264.921142578125,-3886.505859375,
2,587,,,-3631.60400390625
3,599,-2166.5205078125,-3650.833740234375,
3,649,-6121.85595703125,-3771.675537109375,
3,699,-4691.37109375,-3710.00048828125,
3,749,4467.30517578125,-3523.86865234375,
3,783,,,-3679.923095703125
4,799,3610.51318359375,-3469.592529296875,
4,849,4769.34619140625,-3470.666748046875,
4,899,1165.931884765625,-3489.03662109375,
4,949,2967.55810546875,-3557.4296875,
4,979,,,-3465.2783203125
5,999,-7092.5615234375,-3705.38330078125,
5,1049,1459.5224609375,-3406.0439453125,
5,1099,1092.6939697265625,-3423.05615234375,
5,1149,-3841.876953125,-3606.62548828125,
5,1175,,,-3325.8427734375
6,1199,-7120.541015625,-3625.00390625,
6,1249,-4499.6748046875,-3523.203857421875,
6,1299,-2436.2529296875,-3423.117431640625,
6,1349,-4271.1357421875,-3521.4072265625,
6,1371,,,-3322.45166015625
7,1399,-1124.5904541015625,-3368.418212890625,
7,1449,608.5969848632812,-3309.589599609375,
7,1499,4304.2333984375,-3021.4443359375,
7,1549,3633.100341796875,-3162.72607421875,
7,1567,,,-3173.9873046875
8,1599,2174.20654296875,-3094.06689453125,
8,1649,112.14794921875,-3150.1904296875,
8,1699,1093.0875244140625,-3124.71337890625,
8,1749,-3079.6083984375,-3311.0634765625,
8,1763,,,-3179.406494140625
9,1799,3073.458984375,-3031.24951171875,
9,1849,-963.923583984375,-3163.4814453125,
9,1899,1597.39794921875,-3067.75390625,
9,1949,4098.1376953125,-2941.00244140625,
9,1959,,,-2964.982666015625
10,1999,-5328.931640625,-3237.9423828125,
10,2049,1315.131591796875,-2908.581787109375,
10,2099,670.2884521484375,-2911.71875,
10,2149,312.9932556152344,-2851.025634765625,
10,2155,,,-2865.25048828125
