epoch,step,train/loss,train/reward,val/reward
0,49,-4.989909648895264,-13.766794204711914,
0,99,0.34670865535736084,-13.167816162109375,
0,149,1.050570011138916,-12.790035247802734,
0,195,,,-11.910605430603027
1,199,-32.8581657409668,-12.682491302490234,
1,249,-16.114728927612305,-12.366496086120605,
1,299,-10.212940216064453,-12.22850513458252,
1,349,-3.158277988433838,-11.951255798339844,
1,391,,,-11.56420612335205
2,399,-10.617266654968262,-11.92355728149414,
2,449,-5.93198299407959,-11.739128112792969,
2,499,-7.262383937835693,-11.873970031738281,
2,549,-3.0391054153442383,-11.598015785217285,
2,587,,,-11.488897323608398
