epoch,step,train/loss,train/reward,val/reward
0,49,58832796.0,-7174.36865234375,
0,97,,,-1801.23974609375
1,99,27338366.0,-2897.60205078125,
1,149,3346858.75,-1064.814453125,
1,195,,,-542.909912109375
2,199,1743930.25,-684.4236450195312,
2,249,1726094.25,-653.5084228515625,
2,293,,,-441.756591796875
3,299,3322574.75,-867.4676513671875,
3,349,1336589.125,-605.349365234375,
3,391,,,-442.69134521484375
4,399,1742417.625,-614.3960571289062,
4,449,1244178.0,-536.005859375,
4,489,,,-383.1510314941406
5,499,1141754.5,-511.4945373535156,
5,549,715072.4375,-397.90191650390625,
5,587,,,-228.86732482910156
6,599,790733.5625,-444.79443359375,
6,649,2507298.25,-466.4466857910156,
6,685,,,-210.05532836914062
7,699,975328.4375,-403.4989013671875,
7,749,713193.5625,-420.552734375,
7,783,,,-251.59774780273438
8,799,530660.875,-344.9753112792969,
8,849,232993.734375,-298.7789306640625,
8,881,,,-234.85440063476562
9,899,356648.09375,-321.3050537109375,
9,949,350410.4375,-312.40826416015625,
9,979,,,-213.1249542236328
10,999,360904.78125,-327.95794677734375,
10,1049,439506.65625,-296.50128173828125,
10,1077,,,-232.7274932861328
11,1099,338020.25,-303.5538330078125,
11,1149,448842.125,-338.09210205078125,
11,1175,,,-248.4770965576172
12,1199,442122.96875,-347.6617431640625,
12,1249,377046.9375,-267.38623046875,
12,1273,,,-230.473876953125
13,1299,178165.953125,-260.6277160644531,
13,1349,372392.875,-288.8556823730469,
13,1371,,,-221.00619506835938
14,1399,519780.15625,-371.99591064453125,
14,1449,153082.515625,-252.3772430419922,
14,1469,,,-213.45889282226562
15,1499,139064.0625,-234.18496704101562,
15,1549,485764.6875,-319.4444885253906,
15,1567,,,-198.0104522705078
16,1599,110965.4921875,-235.71165466308594,
16,1649,230332.453125,-257.067138671875,
16,1665,,,-248.01390075683594
17,1699,245494.578125,-252.30291748046875,
17,1749,273382.28125,-264.94091796875,
17,1763,,,-177.2383270263672
18,1799,113569.84375,-213.9018096923828,
18,1849,164553.359375,-227.3331298828125,
18,1861,,,-166.7292938232422
19,1899,114404.5390625,-213.56576538085938,
19,1949,145398.0,-223.88368225097656,
19,1959,,,-199.80520629882812
20,1999,82282.5234375,-190.85763549804688,
20,2049,98319.03125,-202.31198120117188,
20,2057,,,-159.45970153808594
21,2099,105138.296875,-193.066162109375,
21,2149,134083.9375,-223.2924346923828,
21,2155,,,-162.5430450439453
22,2199,126010.7578125,-199.064697265625,
22,2249,137541.640625,-201.668212890625,
22,2253,,,-151.9317626953125
23,2299,154260.015625,-194.17941284179688,
23,2349,66844.140625,-178.14266967773438,
23,2351,,,-136.67735290527344
24,2399,196738.234375,-226.9464874267578,
24,2449,152022.578125,-216.5458526611328,
24,2449,,,-171.11610412597656
25,2499,99780.03125,-200.76705932617188,
25,2547,,,-169.87158203125
26,2549,587323.9375,-298.9423522949219,
